accession,gene_name,index
NP_035761.1,Hsp90b1,421
NP_080785.2,Cavin4,422
NP_033442.2; NP_001157720.1,Tpm2,423
NP_058061.2,Prkag1,424
XP_006521750.1,NA,425
NP_001304314.1,Prdx2,426
NP_034158.1,Ddx3x,427
XP_017169807.1; NP_034985.2; NP_001034634.2; XP_017171330.1; NP_796343.2,Myh1,428
NP_032181.2,Gpi1,429
NP_038848.1,Hk2,430
NP_032991.1,Ptger4,431
NP_034985.2; NP_001034634.2,Myh4,432
NP_034236.2; NP_031932.1,Eef1a1,433
NP_032880.1,Prkaca,434
NP_067483.1,Myoz1,435
NP_666148.1,Ahsa1,436
NP_034401.1,Gpd1,437
XP_017169807.1; NP_034985.2; NP_001034634.2,Myh1,438
NP_034985.2; XP_017171330.1,Myh4,439
NP_598738.1,Trf,440
NP_032854.2,Pgk1,441
NP_954603.3,Obscn,442
XP_006513224.1,NA,443
NP_035209.1,Phkg1,444
XP_006534798.1,Hnrnpd,445
XP_006530263.1,Ppp1cc,446
NP_001157226.1,Rab3gap2,447
XP_006513120.1,Mybpc1,448
XP_006503645.2,Pclo,449
NP_001182350.1,H4c17,450
XP_006514787.1,Smtn,451
NP_033475.1,Tuba3b,452
NP_033966.1,Cct3,453
XP_006513703.1,Stac3,454
NP_112440.2,Col2a1,455
NP_001034634.2; XP_017171330.1,Myh2,456
XP_006529770.1,Ppp1r12b,457
NP_001185770.1,Csrp3,458
XP_006534076.1,Fam114a2,459
NP_034063.1,Col6a1,460
XP_017172628.1; NP_035782.3,Ttn,461
NP_035164.1,Prdx1,462
XP_006535325.1,Myo18b,463
NP_001116075.1,Fcgbp,464
XP_006497838.1,NA,465
NP_033736.1,Acta1,466
NP_056602.1,H1f4,467
NP_796343.2,Myh8,468
NP_038588.2,Hspb1,469
NP_573395.1,Parvb,470
XP_006538588.2,NA,471
NP_031769.2,Col1a2,472
XP_006501080.1,NA,473
NP_032328.2; NP_035761.1,Hsp90ab1,474
NP_032903.3,Plg,475
NP_032507.2,Lama2,476
XP_006520664.1,Pfkm,477
NP_031435.1,Adh1,478
XP_006540882.1,NA,479
XP_006530119.1,Pkia,480
NP_080306.1,Eif2s2,481
XP_006526194.1,Myot,482
XP_006511497.1,Tln2,483
NP_033764.2,Adsl,484
